County,incident_acres_burned,incident_longitude,incident_latitude,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),Year,Population,Density,Land Area (mi),None,D0,D1,D2,D3,D4,Temp Difference,Avg Temperature (F),Wind Speed to Wind Run Ratio,Precip to Solar Rad Ratio,Weather Intensity,Dew Point,Month,Day
butte,10.0,-121.449913,39.693268,2024-05-15,0.23,0.0,614.0,17.0,56.400000000000006,37.2,98.0,2.6,62.4,72.7,2024,206975.0,126.51283618581908,1636.0,100.0,0.0,0.0,0.0,0.0,0.0,37.2,56.400000000000006,0.0416666666666666,0.0,157.0,56.00000000000001,5,15
san benito,29.0,-120.801731,36.490486,2024-05-15,0.17,0.0,615.0,12.6,39.125,40.85,93.0,3.2,76.6,66.7,2024,68707.0,49.46508279337653,1389.0,100.0,0.0,0.0,0.0,0.0,0.0,40.85,39.125,0.04177545691906,0.0,135.325,37.725,5,15
fresno,186.0,-120.33456,36.2748148,2024-05-17,0.26,0.0,657.0,12.6,52.675,36.35,72.0,5.7,136.6,71.8,2024,1018965.0,171.02467270896273,5958.0,100.0,0.0,0.0,0.0,0.0,0.0,36.35,52.675,0.041727672035139,0.0,130.375,47.075,5,17
monterey,106.5,-120.811491,35.829559,2024-05-17,0.18,0.0,563.0,13.2,45.825,35.849999999999994,97.0,4.2,101.1,61.4,2024,428562.0,130.57952468007312,3282.0,100.0,0.0,0.0,0.0,0.0,0.0,35.849999999999994,45.825,0.0415430267062314,0.0,147.02499999999998,45.225,5,17
riverside,27.0,-116.583317,33.984278,2024-05-18,0.2,0.0,620.0,14.2,42.475,45.15,90.0,4.2,100.4,67.6,2024,2510643.0,348.2650853100291,7209.0,92.36,7.64,0.0,0.0,0.0,0.0,45.15,42.475,0.0418326693227091,0.0,136.67499999999998,40.475,5,18
kern,121.0,-118.99692,34.96545,2024-05-20,0.28,0.0,737.0,10.0,48.87500000000001,40.35000000000001,70.0,5.9,142.4,80.7,2024,910889.0,111.9716041794714,8135.0,100.0,0.0,0.0,0.0,0.0,0.0,40.35000000000001,48.87500000000001,0.0414325842696629,0.0,124.775,42.87500000000001,5,20
tehama,12.0,-122.129559,40.014819,2024-05-20,0.38,0.0,704.0,6.8,46.62500000000001,43.85000000000001,44.0,13.7,327.7,64.1,2024,64493.0,21.869447270261105,2949.0,100.0,0.0,0.0,0.0,0.0,0.0,43.85000000000001,46.62500000000001,0.041806530363137,0.0,104.325,35.42500000000001,5,20
glenn,19.0,-122.476758,39.598771,2024-05-21,0.295,0.0,712.5,6.55,44.87500000000001,26.950000000000003,67.5,8.45,202.4,61.35,2024,27898.0,21.231354642313548,1314.0,100.0,0.0,0.0,0.0,0.0,0.0,26.950000000000003,44.87500000000001,0.0417490118577075,0.0,120.825,38.37500000000001,5,21
modoc,536.0,-120.31,41.2449,2024-05-21,0.21,0.0,721.0,6.3,43.125,10.050000000000004,91.0,3.2,77.1,58.6,2024,8381.0,2.1228470111448834,3948.0,100.0,0.0,0.0,0.0,0.0,0.0,10.050000000000004,43.125,0.0415045395590142,0.0,137.325,41.325,5,21
san diego,17.0,-117.170895,33.02113,2024-05-22,0.18,0.0,579.0,13.2,38.27499999999999,48.75000000000001,86.0,3.3,80.3,70.2,2024,3262770.0,775.0047505938243,4210.0,100.0,0.0,0.0,0.0,0.0,0.0,48.75000000000001,38.27499999999999,0.0410958904109589,0.0,127.575,35.474999999999994,5,22
butte,11.0,-121.908346,39.539678,2024-05-23,0.23,0.0,568.0,9.2,49.925,41.24999999999999,79.0,5.3,127.9,70.9,2024,206975.0,126.51283618581908,1636.0,100.0,0.0,0.0,0.0,0.0,0.0,41.24999999999999,49.925,0.0414386239249413,0.0,134.22500000000002,45.725,5,23
san benito,191.0,-120.8471351,36.5097274,2024-05-25,0.15,0.0,521.0,11.8,39.8,33.2,91.0,3.6,87.4,66.5,2024,68707.0,49.46508279337653,1389.0,100.0,0.0,0.0,0.0,0.0,0.0,33.2,39.8,0.0411899313501144,0.0,134.4,38.0,5,25
riverside,18.0,-117.340976,33.812223,2024-05-25,0.17,0.0,536.0,12.7,38.900000000000006,46.6,87.0,4.5,107.8,66.0,2024,2510643.0,348.2650853100291,7209.0,92.36,7.64,0.0,0.0,0.0,0.0,46.6,38.900000000000006,0.0417439703153988,0.0,130.4,36.3,5,25
